Year,GeoAreaName,Location,Sex,Value
2005,Ireland,,MALE,385
2010,Ireland,,BOTHSEX,543
2010,Ireland,,FEMALE,124
2010,Ireland,,MALE,419
2015,Ireland,,BOTHSEX,433
2015,Ireland,,FEMALE,95
2015,Ireland,,MALE,338
2019,Ireland,,BOTHSEX,470
2019,Ireland,,FEMALE,96
2019,Ireland,,MALE,374
2000,Italy,,BOTHSEX,4272
2000,Italy,,FEMALE,1146
2000,Italy,,MALE,3126
2005,Italy,,BOTHSEX,3906
2005,Italy,,FEMALE,1054
2005,Italy,,MALE,2852
2010,Italy,,FEMALE,992
2010,Italy,,BOTHSEX,4084
2010,Italy,,MALE,3092
2015,Italy,,BOTHSEX,4317
2015,Italy,,FEMALE,1120
2015,Italy,,MALE,3197
2019,Italy,,BOTHSEX,4042
2019,Italy,,FEMALE,1077
2019,Italy,,MALE,2965
2000,Spain,,BOTHSEX,3502
2000,Spain,,FEMALE,862
2000,Spain,,MALE,2640
2005,Spain,,BOTHSEX,3540
2005,Spain,,FEMALE,893
2005,Spain,,MALE,2647
2010,Spain,,MALE,2521
2010,Spain,,BOTHSEX,3254
2010,Spain,,FEMALE,734
2015,Spain,,BOTHSEX,3686
2015,Spain,,FEMALE,979
2015,Spain,,MALE,2707
2019,Spain,,BOTHSEX,3609
2019,Spain,,MALE,2623
2019,Spain,,FEMALE,986
2000,Sweden,,MALE,902
2000,Sweden,,FEMALE,437
2000,Sweden,,BOTHSEX,1338
2005,Sweden,,BOTHSEX,1418
2005,Sweden,,FEMALE,472
2000,Kazakhstan,,BOTHSEX,5776
2000,Kazakhstan,,FEMALE,889
2000,Kazakhstan,,MALE,4887
2005,Kazakhstan,,BOTHSEX,6045
2005,Kazakhstan,,FEMALE,983
2005,Kazakhstan,,MALE,5061
2010,Kazakhstan,,BOTHSEX,4866
2010,Kazakhstan,,FEMALE,882
2010,Kazakhstan,,MALE,3984
2015,Kazakhstan,,FEMALE,740
2005,Sweden,,MALE,947
2010,Sweden,,BOTHSEX,1384
2010,Sweden,,FEMALE,411
2010,Sweden,,MALE,972
2015,Sweden,,BOTHSEX,1536
2015,Sweden,,FEMALE,471
2015,Sweden,,MALE,1065
2019,Sweden,,BOTHSEX,1479
2019,Sweden,,MALE,1002
2019,Sweden,,FEMALE,477
2000,Switzerland,,BOTHSEX,1444
2000,Switzerland,,FEMALE,452
2000,Switzerland,,MALE,992
2005,Switzerland,,BOTHSEX,1406
2005,Switzerland,,MALE,931
2005,Switzerland,,FEMALE,475
2010,Switzerland,,FEMALE,366
2010,Switzerland,,BOTHSEX,1130
2010,Switzerland,,MALE,764
2015,Switzerland,,BOTHSEX,1242
2015,Kazakhstan,,BOTHSEX,4085
2015,Kazakhstan,,MALE,3345
2019,Kazakhstan,,FEMALE,646
2019,Kazakhstan,,MALE,2612
2019,Kazakhstan,,BOTHSEX,3259
2000,Kyrgyzstan,,BOTHSEX,728
2000,Kyrgyzstan,,MALE,609
2000,Kyrgyzstan,,FEMALE,119
2005,Kyrgyzstan,,MALE,547
2005,Kyrgyzstan,,BOTHSEX,669
2015,Switzerland,,FEMALE,398
2015,Switzerland,,MALE,843
2019,Switzerland,,MALE,859
2019,Switzerland,,FEMALE,390
2019,Switzerland,,BOTHSEX,1249
2000,Tajikistan,,FEMALE,70
2000,Tajikistan,,MALE,163
2000,Tajikistan,,BOTHSEX,233
2005,Tajikistan,,BOTHSEX,244
2005,Tajikistan,,FEMALE,75
2005,Kyrgyzstan,,FEMALE,122
2010,Kyrgyzstan,,BOTHSEX,617
2010,Kyrgyzstan,,FEMALE,127
2010,Kyrgyzstan,,MALE,490
2015,Kyrgyzstan,,BOTHSEX,590
2015,Kyrgyzstan,,FEMALE,116
2015,Kyrgyzstan,,MALE,474
2019,Kyrgyzstan,,BOTHSEX,474
2019,Kyrgyzstan,,FEMALE,103
2019,Kyrgyzstan,,MALE,371
2005,Tajikistan,,MALE,170
2010,Tajikistan,,BOTHSEX,297
2010,Tajikistan,,FEMALE,94
2010,Tajikistan,,MALE,203
2015,Tajikistan,,BOTHSEX,349
2015,Tajikistan,,FEMALE,121
2015,Tajikistan,,MALE,228
2019,Tajikistan,,MALE,268
2019,Tajikistan,,BOTHSEX,399
2019,Tajikistan,,FEMALE,131
2000,Latvia,,BOTHSEX,828
2000,Latvia,,FEMALE,165
2000,Latvia,,MALE,662
2005,Latvia,,MALE,473
2005,Latvia,,FEMALE,124
2005,Latvia,,BOTHSEX,598
2010,Latvia,,FEMALE,68
2010,Latvia,,MALE,409
2010,Latvia,,BOTHSEX,477
2015,Latvia,,BOTHSEX,431
2000,Türkiye,,BOTHSEX,2510
2000,Türkiye,,MALE,1929
2000,Türkiye,,FEMALE,581
2005,Türkiye,,BOTHSEX,1920
2005,Türkiye,,FEMALE,524
2005,Türkiye,,MALE,1396
2010,Türkiye,,BOTHSEX,1748
2010,Türkiye,,MALE,1263
2010,Türkiye,,FEMALE,486
2015,Türkiye,,BOTHSEX,1777
2015,Latvia,,FEMALE,91
2015,Latvia,,MALE,341
2019,Latvia,,BOTHSEX,384
2019,Latvia,,FEMALE,72
2019,Latvia,,MALE,311
2000,Lithuania,,BOTHSEX,1754
2000,Lithuania,,FEMALE,342
2000,Lithuania,,MALE,1412
2005,Lithuania,,FEMALE,258
2005,Lithuania,,MALE,1171
2015,Türkiye,,FEMALE,509
2015,Türkiye,,MALE,1268
2019,Türkiye,,FEMALE,517
2019,Türkiye,,BOTHSEX,2003
2019,Türkiye,,MALE,1486
2000,Turkmenistan,,FEMALE,97
2000,Turkmenistan,,BOTHSEX,566
2000,Turkmenistan,,MALE,469
2005,Turkmenistan,,BOTHSEX,718
2005,Turkmenistan,,FEMALE,133
2005,Lithuania,,BOTHSEX,1429
2010,Lithuania,,BOTHSEX,1163
2010,Lithuania,,FEMALE,217
2010,Lithuania,,MALE,946
2015,Lithuania,,MALE,833
2015,Lithuania,,FEMALE,189
2015,Lithuania,,BOTHSEX,1022
2019,Lithuania,,BOTHSEX,721
2019,Lithuania,,FEMALE,142
