Year,GeoAreaName,Type of waste treatment,Value
2010,Kazakhstan,OTHERWM,60562972
2011,Kazakhstan,LANDFIL,8948527
2011,Kazakhstan,OTHERWM,53548652
2011,Kazakhstan,INCINRT,577116.8125
2011,Kazakhstan,RECYCL,45027776
2012,Kazakhstan,LANDFIL,980434.9375
2012,Kazakhstan,INCINRT_EGY,50469.28125
2012,Kazakhstan,INCINRT,908047.25
2012,Kazakhstan,OTHERWM,30235016
2019,Belarus,INCINRT,30330
2019,Belarus,OTHERWM,0
2019,Belarus,RECYCL,1505210
2019,Belarus,LANDFIL,177170
2020,Belarus,LANDFIL,134146
2020,Belarus,RECYCL,1759552
2020,Belarus,OTHERWM,0
2020,Belarus,INCINRT,17809
2021,Belarus,INCINRT,18697
2012,Kazakhstan,RECYCL,94720088
2013,Kazakhstan,LANDFIL,484519.59375
2013,Kazakhstan,RECYCL,81826296
2013,Kazakhstan,INCINRT_EGY,20354.35156
2013,Kazakhstan,OTHERWM,92899440
2013,Kazakhstan,INCINRT,511195.25
2014,Kazakhstan,OTHERWM,20470682
2014,Kazakhstan,RECYCL,110138368
2014,Kazakhstan,LANDFIL,581783.6875
