Year,GeoAreaName,IHR Capacity,Value
2019,Cyprus,SPAR01,67
2019,Cyprus,SPAR08,87
2017,Croatia,IHR04,83
2017,Croatia,IHR05,90
2017,Croatia,IHR06,43
2017,Croatia,IHR07,40
2017,Croatia,IHR12,85
2019,Cyprus,SPAR09,60
2019,Cyprus,SPAR10,60
2020,Cyprus,SPAR11,80
2020,Cyprus,SPAR12,40
2020,Cyprus,SPAR13,40
2020,Cyprus,SPAR02,70
2021,Bosnia and Herzegovina,SPAR2-C06,20
2021,Bosnia and Herzegovina,SPAR2-C05,40
2021,Bosnia and Herzegovina,SPAR2-C04,44
2011,Bulgaria,IHR01,50
2011,Bulgaria,IHR11,100
2017,Croatia,IHR13,62
2018,Croatia,SPAR01,80
2018,Croatia,SPAR02,70
2018,Croatia,SPAR03,80
2018,Croatia,SPAR04,80
2018,Croatia,SPAR11,80
2011,Bulgaria,IHR10,89
2011,Bulgaria,IHR13,100
2011,Bulgaria,IHR12,58
2011,Bulgaria,IHR04,35
2011,Bulgaria,IHR03,85
2018,Croatia,SPAR12,60
2018,Croatia,SPAR13,80
2018,Croatia,SPAR05,87
2018,Croatia,SPAR06,80
2018,Croatia,SPAR07,80
2018,Croatia,SPAR08,47
2020,Cyprus,SPAR03,60
2020,Cyprus,SPAR01,67
2020,Cyprus,SPAR05,73
2020,Cyprus,SPAR06,50
2020,Cyprus,SPAR07,80
2020,Cyprus,SPAR08,87
2018,Croatia,SPAR09,67
2018,Croatia,SPAR10,60
2019,Croatia,SPAR05,87
2019,Croatia,SPAR06,90
2019,Croatia,SPAR07,80
2019,Croatia,SPAR08,53
2019,Croatia,SPAR09,73
2019,Croatia,SPAR10,80
2019,Croatia,SPAR11,80
2019,Croatia,SPAR12,80
2019,Croatia,SPAR13,80
2019,Croatia,SPAR01,80
2019,Croatia,SPAR02,70
2019,Croatia,SPAR03,80
2019,Croatia,SPAR04,80
2020,Croatia,SPAR01,80
2020,Croatia,SPAR02,70
2020,Croatia,SPAR03,80
2020,Cyprus,SPAR09,60
2020,Cyprus,SPAR10,60
2020,Cyprus,SPAR04,100
2021,Cyprus,SPAR2-C06,80
2021,Cyprus,SPAR2-C07,80
2021,Cyprus,SPAR2-C08,67
2020,Croatia,SPAR04,80
2020,Croatia,SPAR11,80
2020,Croatia,SPAR12,80
2020,Croatia,SPAR13,80
2020,Croatia,SPAR05,87
2020,Croatia,SPAR06,90
2011,Bulgaria,IHR05,55
2011,Bulgaria,IHR02,46
2011,Bulgaria,IHR07,0
2011,Bulgaria,IHR08,80
2011,Bulgaria,IHR09,61
2021,Cyprus,SPAR2-C09,47
2021,Cyprus,SPAR2-C10,60
2021,Cyprus,SPAR2-C01,20
2021,Cyprus,SPAR2-C05,90
2021,Cyprus,SPAR2-C11,67
2020,Croatia,SPAR07,80
2020,Croatia,SPAR08,53
2020,Croatia,SPAR09,73
2020,Croatia,SPAR10,80
2021,Croatia,SPAR2-C05,90
2021,Croatia,SPAR2-C06,70
2021,Cyprus,SPAR2-C12,80
2021,Cyprus,SPAR2-C13,100
2021,Cyprus,SPAR2-C14,40
2021,Cyprus,SPAR2-C15,40
2021,Cyprus,SPAR2-C02,80
2021,Croatia,SPAR2-C07,60
2021,Croatia,SPAR2-C08,73
2021,Croatia,SPAR2-C09,60
