Year,GeoAreaName,Age,Freq,Location,Sex,Value
2020,Latvia,ALLAGE,,,BOTHSEX,<100
2015,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2015,Liechtenstein,15+,,,MALE,NaN
2018,Sweden,15+,,,MALE,<100
2018,Sweden,15+,,,FEMALE,<100
2018,Sweden,ALLAGE,,,BOTHSEX,114.8
2019,Sweden,15+,,,FEMALE,<100
2019,Sweden,15+,,,MALE,<100
2019,Sweden,ALLAGE,,,BOTHSEX,125.1
2020,Sweden,15+,,,FEMALE,<100
2020,Sweden,15+,,,MALE,<100
2020,Sweden,ALLAGE,,,BOTHSEX,131
2019,Croatia,15+,,,MALE,<100
2019,Croatia,ALLAGE,,,BOTHSEX,<100
2019,Croatia,15+,,,FEMALE,<100
2020,Croatia,15+,,,FEMALE,<100
2020,Croatia,15+,,,MALE,<100
2020,Croatia,ALLAGE,,,BOTHSEX,<100
2015,Cyprus,ALLAGE,,,BOTHSEX,NaN
2015,Cyprus,15+,,,FEMALE,NaN
2015,Cyprus,15+,,,MALE,NaN
2015,Liechtenstein,15+,,,FEMALE,NaN
2016,Liechtenstein,15+,,,MALE,NaN
2016,Liechtenstein,15+,,,FEMALE,NaN
2016,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2017,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2017,Liechtenstein,15+,,,MALE,NaN
2017,Liechtenstein,15+,,,FEMALE,NaN
2018,Liechtenstein,15+,,,MALE,NaN
2018,Liechtenstein,15+,,,FEMALE,NaN
2018,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2019,Liechtenstein,15+,,,FEMALE,NaN
2016,Cyprus,15+,,,MALE,NaN
2016,Cyprus,ALLAGE,,,BOTHSEX,NaN
2016,Cyprus,15+,,,FEMALE,NaN
2017,Cyprus,15+,,,MALE,NaN
2017,Cyprus,15+,,,FEMALE,NaN
2017,Cyprus,ALLAGE,,,BOTHSEX,NaN
2018,Cyprus,15+,,,FEMALE,NaN
2018,Cyprus,15+,,,MALE,NaN
2018,Cyprus,ALLAGE,,,BOTHSEX,NaN
2019,Cyprus,15+,,,FEMALE,NaN
2019,Liechtenstein,15+,,,MALE,NaN
2019,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2020,Liechtenstein,ALLAGE,,,BOTHSEX,NaN
2020,Liechtenstein,15+,,,MALE,NaN
2020,Liechtenstein,15+,,,FEMALE,NaN
2015,Lithuania,15+,,,MALE,<100
2015,Lithuania,ALLAGE,,,BOTHSEX,<100
2015,Lithuania,15+,,,FEMALE,<100
2016,Lithuania,15+,,,MALE,<100
2016,Lithuania,ALLAGE,,,BOTHSEX,<100
2015,Switzerland,15+,,,FEMALE,<100
2015,Switzerland,15+,,,MALE,<100
2015,Switzerland,ALLAGE,,,BOTHSEX,126.1
2016,Switzerland,ALLAGE,,,BOTHSEX,106.7
2016,Switzerland,15+,,,FEMALE,<100
2016,Switzerland,15+,,,MALE,<100
2017,Switzerland,15+,,,FEMALE,<100
2017,Switzerland,ALLAGE,,,BOTHSEX,<100
2017,Switzerland,15+,,,MALE,<100
