Year,GeoAreaName,Age,Freq,Sex,Value
2020,Malta,ALLAGE,,BOTHSEX,<100
2020,Malta,15+,,MALE,<100
2015,Republic of Moldova,ALLAGE,,BOTHSEX,784.5
2015,Republic of Moldova,15+,,MALE,307.7
2015,Republic of Moldova,15+,,FEMALE,343.7
2016,Republic of Moldova,ALLAGE,,BOTHSEX,851.9
2016,Republic of Moldova,15+,,MALE,329.9
2016,Republic of Moldova,15+,,FEMALE,381.3
2017,Republic of Moldova,ALLAGE,,BOTHSEX,999.9
2017,Republic of Moldova,15+,,MALE,375.6
2017,Republic of Moldova,15+,,FEMALE,447.4
2018,Republic of Moldova,15+,,MALE,381.9
2018,Republic of Moldova,ALLAGE,,BOTHSEX,1113.8
2015,Hungary,15+,,FEMALE,529.7
2015,Hungary,ALLAGE,,BOTHSEX,1105.8
2015,Hungary,15+,,MALE,339.8
2016,Hungary,15+,,MALE,286.9
2016,Hungary,15+,,FEMALE,440
2016,Hungary,ALLAGE,,BOTHSEX,915.3
2017,Hungary,15+,,FEMALE,415.2
2017,Hungary,ALLAGE,,BOTHSEX,860.7
2017,Hungary,15+,,MALE,255.2
2018,Republic of Moldova,15+,,FEMALE,536.9
2019,Republic of Moldova,15+,,MALE,383
2019,Republic of Moldova,15+,,FEMALE,530.4
2019,Republic of Moldova,ALLAGE,,BOTHSEX,1097.9
2020,Republic of Moldova,15+,,MALE,338.3
2020,Republic of Moldova,15+,,FEMALE,508
2020,Republic of Moldova,ALLAGE,,BOTHSEX,1005.4
2015,Montenegro,15+,,FEMALE,<100
2018,Hungary,15+,,FEMALE,334.7
2018,Hungary,15+,,MALE,211.2
2018,Hungary,ALLAGE,,BOTHSEX,669.4
2019,Hungary,ALLAGE,,BOTHSEX,833.4
2019,Hungary,15+,,FEMALE,433.2
2019,Hungary,15+,,MALE,279.1
2020,Hungary,15+,,FEMALE,524.3
2020,Hungary,15+,,MALE,360
2020,Hungary,ALLAGE,,BOTHSEX,1023.2
2015,Montenegro,ALLAGE,,BOTHSEX,<100
2015,Montenegro,15+,,MALE,<100
2016,Montenegro,15+,,MALE,<100
2016,Montenegro,15+,,FEMALE,<100
2016,Montenegro,ALLAGE,,BOTHSEX,<100
2017,Montenegro,15+,,FEMALE,<100
2017,Montenegro,15+,,MALE,<100
2017,Montenegro,ALLAGE,,BOTHSEX,<100
2018,Montenegro,ALLAGE,,BOTHSEX,<100
2015,Iceland,15+,,FEMALE,<100
2015,Iceland,15+,,MALE,<100
2015,Iceland,ALLAGE,,BOTHSEX,<100
2016,Iceland,15+,,FEMALE,<100
2016,Iceland,15+,,MALE,<100
2016,Iceland,ALLAGE,,BOTHSEX,<100
2017,Iceland,15+,,FEMALE,<100
2017,Iceland,ALLAGE,,BOTHSEX,<100
