Year,GeoAreaName,Disability status,Sex,Value
2012,Sweden,_T,MALE,8.25
2012,Sweden,_T,FEMALE,7.34
2012,Sweden,PWD,BOTHSEX,7.42
2012,Sweden,PD,BOTHSEX,21.21
2012,Sweden,_T,BOTHSEX,7.82
2013,Sweden,PWD,MALE,9.8
2013,Sweden,PWD,FEMALE,7.43
2013,Sweden,PD,FEMALE,18.55
2011,Luxembourg,_T,BOTHSEX,7.32
2011,Luxembourg,_T,FEMALE,7.52
2011,Luxembourg,PWD,MALE,6.04
2011,Luxembourg,PWD,FEMALE,6.8
2011,Luxembourg,_T,MALE,7.17
2011,Luxembourg,PWD,BOTHSEX,6.38
2011,Luxembourg,PD,MALE,35.56
2012,Luxembourg,PWD,BOTHSEX,6.98
2012,Luxembourg,PD,BOTHSEX,22.62
2012,Luxembourg,_T,FEMALE,7.26
2012,Luxembourg,PWD,MALE,7.08
2012,Luxembourg,PD,FEMALE,22.76
2012,Luxembourg,_T,BOTHSEX,7.44
2012,Luxembourg,PD,MALE,22.53
2012,Luxembourg,PWD,FEMALE,6.86
2012,Luxembourg,_T,MALE,7.58
2013,Luxembourg,PWD,FEMALE,5.98
2013,Luxembourg,_T,BOTHSEX,6.57
2018,Estonia,PD,FEMALE,7.26
2018,Estonia,PD,BOTHSEX,10.77
2018,Estonia,PD,MALE,15.05
2018,Estonia,_T,BOTHSEX,5.64
2018,Estonia,_T,FEMALE,4.96
2018,Estonia,PWD,BOTHSEX,5.43
2018,Estonia,PWD,FEMALE,4.85
2018,Estonia,PWD,MALE,5.98
2018,Estonia,_T,MALE,6.29
2019,Estonia,_T,MALE,5.55
2019,Estonia,PWD,BOTHSEX,4.66
2019,Estonia,PWD,MALE,4.94
2019,Estonia,PWD,FEMALE,4.36
2019,Estonia,_T,FEMALE,4.48
2019,Estonia,PD,BOTHSEX,12.33
2019,Estonia,PD,MALE,20.28
2019,Estonia,PD,FEMALE,6.5
2019,Estonia,_T,BOTHSEX,5.02
2013,Sweden,PWD,BOTHSEX,8.69
2013,Sweden,PD,MALE,16.68
2013,Sweden,_T,BOTHSEX,8.95
2013,Sweden,_T,MALE,9.94
2013,Sweden,PD,BOTHSEX,17.86
2013,Sweden,_T,FEMALE,7.85
2014,Sweden,PWD,BOTHSEX,8.08
2014,Sweden,_T,MALE,8.42
2014,Sweden,PWD,FEMALE,7.93
2013,Luxembourg,PWD,BOTHSEX,5.92
2013,Luxembourg,PD,BOTHSEX,21.17
2013,Luxembourg,PD,MALE,26.9
2013,Luxembourg,PWD,MALE,5.88
2013,Luxembourg,_T,FEMALE,6.42
2013,Luxembourg,_T,MALE,6.68
2013,Luxembourg,PD,FEMALE,15.35
2014,Luxembourg,PD,MALE,21.23
2014,Luxembourg,PD,FEMALE,13.05
2014,Luxembourg,_T,BOTHSEX,7.26
2014,Luxembourg,PWD,MALE,6.56
