Year,GeoAreaName,Migratory status,Sex,Value
2014,Czechia,NONMIG,BOTHSEX,2.19
2014,Czechia,_T,BOTHSEX,2.41
2015,Czechia,_T,MALE,4.47
2015,Czechia,_T,BOTHSEX,2.55
2015,Czechia,NONMIG,BOTHSEX,2.09
2012,Portugal,_T,FEMALE,0.4
2012,Portugal,NONMIG,FEMALE,0.28
2012,Portugal,_T,MALE,8.03
2012,Portugal,NONMIG,BOTHSEX,4.55
2013,Portugal,NONMIG,FEMALE,0.29
2013,Portugal,NONMIG,BOTHSEX,3.68
2013,Portugal,_T,BOTHSEX,3.63
2013,Portugal,_T,FEMALE,0.28
2013,Portugal,NONMIG,MALE,6.85
2013,Portugal,_T,MALE,6.77
2014,Portugal,_T,BOTHSEX,3.58
2014,Portugal,NONMIG,FEMALE,0.28
2014,Portugal,_T,MALE,6.6
2014,Portugal,NONMIG,MALE,6.52
2014,Portugal,_T,FEMALE,0.37
2014,Portugal,NONMIG,BOTHSEX,3.51
2015,Portugal,NONMIG,BOTHSEX,3.44
2015,Portugal,_T,BOTHSEX,3.54
2015,Portugal,NONMIG,FEMALE,0.09
2015,Portugal,NONMIG,MALE,6.61
2015,Portugal,_T,MALE,6.81
2015,Portugal,_T,FEMALE,0.09
2016,Portugal,_T,BOTHSEX,3.0
2017,Portugal,_T,BOTHSEX,2.94
2018,Portugal,_T,BOTHSEX,2.12
2019,Portugal,_T,BOTHSEX,2.12
2020,Portugal,_T,BOTHSEX,2.72
2015,Czechia,NONMIG,FEMALE,0.0
2015,Czechia,_T,FEMALE,0.1
2015,Czechia,NONMIG,MALE,3.73
2016,Czechia,_T,BOTHSEX,2.07
2017,Czechia,_T,BOTHSEX,1.82
2018,Czechia,_T,BOTHSEX,2.59
2019,Czechia,_T,BOTHSEX,2.01
2000,Romania,_T,BOTHSEX,8.0
2001,Romania,_T,BOTHSEX,7.07
2002,Romania,_T,BOTHSEX,7.0
2003,Romania,_T,BOTHSEX,7.0
2004,Romania,_T,BOTHSEX,7.0
2005,Romania,_T,BOTHSEX,8.99
2006,Romania,_T,BOTHSEX,7.17
2007,Romania,_T,BOTHSEX,8.41
2020,Czechia,_T,BOTHSEX,2.3
2000,Denmark,_T,FEMALE,0.0
2000,Denmark,_T,BOTHSEX,2.0
2000,Denmark,_T,MALE,4.0
2001,Denmark,_T,BOTHSEX,2.0
2001,Denmark,_T,MALE,3.0
2001,Denmark,_T,FEMALE,0.0
2008,Romania,_T,BOTHSEX,9.0
2009,Romania,NONMIG,MALE,7.3
2009,Romania,_T,BOTHSEX,4.45
2009,Romania,NONMIG,FEMALE,0.85
2009,Romania,_T,MALE,7.37
2009,Romania,_T,FEMALE,0.84
2009,Romania,NONMIG,BOTHSEX,4.41
2018,Azerbaijan,_T,MALE,5.0
2018,Azerbaijan,_T,BOTHSEX,3.0
2018,Azerbaijan,_T,FEMALE,1.0
2019,Azerbaijan,_T,MALE,5.0
2019,Azerbaijan,_T,BOTHSEX,4.0
2019,Azerbaijan,_T,FEMALE,2.0
2020,Azerbaijan,_T,BOTHSEX,3.0
2010,Romania,_T,FEMALE,0.93
2010,Romania,NONMIG,FEMALE,0.93
2010,Romania,_T,MALE,9.38
2010,Romania,_T,BOTHSEX,5.3
2010,Romania,NONMIG,BOTHSEX,5.25
2010,Romania,NONMIG,MALE,9.29
2011,Romania,_T,BOTHSEX,6.39
2011,Romania,NONMIG,BOTHSEX,6.31
2011,Romania,NONMIG,MALE,12.1
2011,Romania,NONMIG,FEMALE,1.06
2011,Romania,_T,FEMALE,1.06
2011,Romania,_T,MALE,12.27
2012,Romania,NONMIG,MALE,11.56
2012,Romania,_T,FEMALE,0.6
2012,Romania,_T,MALE,11.55
2012,Romania,NONMIG,FEMALE,0.6
2012,Romania,NONMIG,BOTHSEX,5.78
2012,Romania,_T,BOTHSEX,5.78
2013,Romania,NONMIG,BOTHSEX,5.61
2013,Romania,_T,FEMALE,0.59
2013,Romania,NONMIG,MALE,11.19
2013,Romania,NONMIG,FEMALE,0.59
2013,Romania,_T,BOTHSEX,5.6
2013,Romania,_T,MALE,11.17
2014,Romania,_T,MALE,11.21
2014,Romania,_T,BOTHSEX,5.52
2014,Romania,_T,FEMALE,0.38
2014,Romania,NONMIG,MALE,11.13
2009,Denmark,_T,MALE,2.53
2009,Denmark,NONMIG,FEMALE,0.16
2009,Denmark,_T,FEMALE,0.15
2009,Denmark,NONMIG,BOTHSEX,1.32
2009,Denmark,_T,BOTHSEX,1.41
2009,Denmark,NONMIG,MALE,2.34
2010,Denmark,_T,MALE,2.8
2010,Denmark,_T,FEMALE,0.16
2014,Romania,NONMIG,FEMALE,0.39
2014,Romania,NONMIG,BOTHSEX,5.49
2015,Romania,_T,BOTHSEX,5.56
2015,Romania,NONMIG,BOTHSEX,5.52
2015,Romania,NONMIG,MALE,10.06
2015,Romania,_T,FEMALE,0.5
2015,Romania,NONMIG,FEMALE,0.5
2010,Denmark,_T,BOTHSEX,1.53
2010,Denmark,NONMIG,FEMALE,0.16
2010,Denmark,NONMIG,BOTHSEX,1.51
2010,Denmark,NONMIG,MALE,2.75
2011,Denmark,NONMIG,MALE,2.85
2011,Denmark,_T,FEMALE,0.16
2011,Denmark,_T,BOTHSEX,1.64
2011,Denmark,NONMIG,BOTHSEX,1.56
2015,Romania,_T,MALE,10.13
2016,Romania,_T,BOTHSEX,3.77
2017,Romania,_T,BOTHSEX,4.49
2018,Romania,_T,BOTHSEX,4.33
2019,Romania,_T,BOTHSEX,3.0
2020,Romania,_T,BOTHSEX,2.88
2021,Romania,_T,BOTHSEX,2.63
2011,Denmark,_T,MALE,3.03
2011,Denmark,NONMIG,FEMALE,0.16
2012,Denmark,_T,FEMALE,0.16
2012,Denmark,NONMIG,BOTHSEX,1.48
2012,Denmark,NONMIG,MALE,2.67
2012,Denmark,_T,BOTHSEX,1.71
2012,Denmark,NONMIG,FEMALE,0.16
2012,Denmark,_T,MALE,3.11
2000,Slovakia,_T,FEMALE,0.52
2000,Slovakia,_T,MALE,7.51
2000,Slovakia,_T,BOTHSEX,4.27
2001,Slovakia,_T,FEMALE,0.21
2001,Slovakia,_T,BOTHSEX,4.91
2001,Slovakia,_T,MALE,9.02
