Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2005,Ireland,RES,BOTHSEX,2175
2005,Ireland,RES,MALE,1085
2005,Ireland,CAN,BOTHSEX,7483
2005,Ireland,CAN,FEMALE,3625
2005,Ireland,RES,FEMALE,1090
2005,Ireland,DIA,FEMALE,218
2005,Ireland,CAR,FEMALE,4663
2005,Ireland,CAR,MALE,4871
2000,Denmark,CAN,FEMALE,7988
2000,Denmark,RES,BOTHSEX,4907
2000,Denmark,RES,MALE,2363
2000,Denmark,CAN,MALE,8160
2000,Denmark,CAR,MALE,9834
2000,Denmark,DIA,MALE,790
2000,Denmark,DIA,BOTHSEX,1503
2000,Denmark,CAN,BOTHSEX,16148
2000,Denmark,CAR,BOTHSEX,20963
2015,Albania,CAN,BOTHSEX,4652
2015,Albania,DIA,MALE,98
2015,Albania,RES,MALE,506
2019,Albania,DIA,BOTHSEX,269
2019,Albania,CAR,MALE,8288
2019,Albania,CAN,MALE,3130
2019,Albania,RES,MALE,647
2019,Albania,CAN,FEMALE,1519
2019,Albania,DIA,MALE,118
2019,Armenia,CAN,BOTHSEX,5105
2019,Armenia,DIA,FEMALE,500
2019,Armenia,RES,BOTHSEX,964
2019,Armenia,CAR,MALE,6264
2019,Armenia,CAR,BOTHSEX,13090
2000,Belgium,DIA,FEMALE,1011
2000,Belgium,RES,MALE,5375
2000,Belgium,CAN,FEMALE,11488
2000,Belgium,CAN,BOTHSEX,27274
2000,Denmark,RES,FEMALE,2545
2000,Denmark,DIA,FEMALE,713
2000,Denmark,CAR,FEMALE,11129
2005,Denmark,RES,MALE,2010
2005,Denmark,CAN,MALE,8068
2005,Denmark,DIA,MALE,738
2005,Denmark,CAR,FEMALE,9344
2005,Denmark,CAN,FEMALE,7800
2005,Denmark,RES,BOTHSEX,4216
2019,Albania,RES,FEMALE,508
2019,Albania,CAR,BOTHSEX,19482
2019,Albania,DIA,FEMALE,151
2019,Albania,CAR,FEMALE,11195
2019,Albania,CAN,BOTHSEX,4649
2019,Albania,RES,BOTHSEX,1155
2000,Azerbaijan,RES,MALE,1047
2000,Azerbaijan,CAR,BOTHSEX,31510
2000,Azerbaijan,DIA,MALE,697
2000,Belgium,CAR,BOTHSEX,37560
2000,Belgium,RES,BOTHSEX,9024
2000,Belgium,DIA,BOTHSEX,1608
2000,Belgium,CAN,MALE,15786
2000,Belgium,DIA,MALE,598
2000,Belgium,CAR,MALE,17034
